     DEPTH         AC        DEN         GR
   40.2500 -9999.0000 -9999.0000    66.2586
   40.3750 -9999.0000 -9999.0000    68.5037
   40.5000 -9999.0000 -9999.0000    68.4755
   40.6250 -9999.0000 -9999.0000    67.1168
   40.7500 -9999.0000 -9999.0000    66.9174
   40.8750 -9999.0000 -9999.0000    69.0183
   41.0000 -9999.0000 -9999.0000    71.1224
   41.1250 -9999.0000 -9999.0000    70.8142
   41.2500 -9999.0000 -9999.0000    69.1757
   41.3750 -9999.0000 -9999.0000    67.4359
   41.5000 -9999.0000 -9999.0000    66.9916
   41.6250 -9999.0000 -9999.0000    69.1702
   41.7500 -9999.0000 -9999.0000    73.7170
   41.8750 -9999.0000 -9999.0000    78.4553
   42.0000 -9999.0000 -9999.0000    81.4102
   42.1250 -9999.0000 -9999.0000    82.0342
   42.2500 -9999.0000 -9999.0000    79.9313
   42.3750 -9999.0000 -9999.0000    75.0472
   42.5000 -9999.0000 -9999.0000    69.8275
   42.6250 -9999.0000 -9999.0000    68.1635
   42.7500 -9999.0000 -9999.0000    69.4932
   42.8750 -9999.0000 -9999.0000    70.5149
   43.0000 -9999.0000 -9999.0000    70.2612
   43.1250 -9999.0000 -9999.0000    70.3719
   43.2500 -9999.0000 -9999.0000    71.6335
   43.3750 -9999.0000 -9999.0000    72.7584
   43.5000 -9999.0000 -9999.0000    73.5618
   43.6250 -9999.0000 -9999.0000    74.6440
   43.7500 -9999.0000 -9999.0000    75.3639
   43.8750 -9999.0000 -9999.0000    73.8152
   44.0000 -9999.0000 -9999.0000    69.5693
   44.1250 -9999.0000 -9999.0000    64.6048
   44.2500 -9999.0000 -9999.0000    61.2491
   44.3750 -9999.0000 -9999.0000    59.3463
   44.5000 -9999.0000 -9999.0000    57.6364
   44.6250 -9999.0000 -9999.0000    55.2347
   44.7500 -9999.0000 -9999.0000    53.7376
   44.8750 -9999.0000 -9999.0000    54.5894
   45.0000 -9999.0000 -9999.0000    56.5403
   45.1250 -9999.0000 -9999.0000    57.3247
   45.2500 -9999.0000 -9999.0000    57.0257
   45.3750 -9999.0000 -9999.0000    57.1503
   45.5000 -9999.0000 -9999.0000    57.6899
   45.6250 -9999.0000 -9999.0000    57.5123
   45.7500 -9999.0000 -9999.0000    56.3542
   45.8750 -9999.0000 -9999.0000    55.3551
   46.0000 -9999.0000 -9999.0000    55.7238
   46.1250 -9999.0000 -9999.0000    57.2301
   46.2500 -9999.0000 -9999.0000    58.6102
   46.3750 -9999.0000 -9999.0000    58.6706
   46.5000 -9999.0000 -9999.0000    58.3703
   46.6250 -9999.0000 -9999.0000    58.6133
   46.7500 -9999.0000 -9999.0000    58.7135
   46.8750 -9999.0000 -9999.0000    57.8706
   47.0000 -9999.0000 -9999.0000    56.1531
   47.1250 -9999.0000 -9999.0000    55.5700
   47.2500 -9999.0000 -9999.0000    57.7000
   47.3750 -9999.0000 -9999.0000    61.5538
   47.5000 -9999.0000 -9999.0000    63.6413
   47.6250 -9999.0000 -9999.0000    62.8436
   47.7500 -9999.0000 -9999.0000    60.4535
   47.8750 -9999.0000 -9999.0000    59.0541
   48.0000 -9999.0000 -9999.0000    59.0305
   48.1250 -9999.0000 -9999.0000    60.0799
   48.2500 -9999.0000 -9999.0000    61.9080
   48.3750 -9999.0000 -9999.0000    63.4274
   48.5000 -9999.0000 -9999.0000    63.1213
   48.6250 -9999.0000 -9999.0000    61.3746
   48.7500 -9999.0000 -9999.0000    59.3969
   48.8750 -9999.0000 -9999.0000    58.7748
   49.0000 -9999.0000 -9999.0000    59.3765
   49.1250 -9999.0000 -9999.0000    60.0587
   49.2500 -9999.0000 -9999.0000    60.2851
   49.3750 -9999.0000 -9999.0000    59.4811
   49.5000 -9999.0000 -9999.0000    57.0053
   49.6250 -9999.0000 -9999.0000    53.7278
   49.7500 -9999.0000 -9999.0000    50.6328
   49.8750 -9999.0000 -9999.0000    48.9830
   50.0000 -9999.0000 -9999.0000    49.5843
   50.1250 -9999.0000 -9999.0000    52.8706
   50.2500 -9999.0000 -9999.0000    57.4321
   50.3750 -9999.0000 -9999.0000    60.8712
   50.5000 -9999.0000 -9999.0000    62.1761
   50.6250 -9999.0000 -9999.0000    62.9790
   50.7500 -9999.0000 -9999.0000    64.5162
   50.8750 -9999.0000 -9999.0000    65.4524
   51.0000 -9999.0000 -9999.0000    64.7054
   51.1250 -9999.0000 -9999.0000    63.1570
